"u:0","u:1","u:2","p","node_groups"
-0.096131,0.33014,0,-0.5391,0
-0.093642,0.3335,0,-0.59,0
-0.087937,0.33264,0,-0.64297,0
-0.077295,0.32627,0,-0.69675,0
-0.059171,0.31295,0,-0.74926,0
-0.029898,0.29113,0,-0.79724,0
0.015631,0.25948,0,-0.83589,0
0.084123,0.21749,0,-0.85863,0
0.18362,0.16633,0,-0.85736,0
0.32234,0.11001,0,-0.82322,0
0.5062,0.056157,0,-0.74979,0
0.73515,0.015664,0,-0.63277,0
1,0,0,-0.483,0
0,0,0,0,0
-0.0028193,0.0041515,0,-0.06116,0
-0.0058932,0.0043085,0,-0.040515,0
-0.0091248,0.0064071,0,-0.042456,0
-0.012439,0.0087777,0,-0.038939,0
-0.015782,0.011814,0,-0.037445,0
-0.019115,0.015375,0,-0.035952,0
-0.022417,0.019475,0,-0.035002,0
-0.025676,0.024094,0,-0.034466,0
-0.028891,0.029229,0,-0.034405,0
-0.032064,0.034872,0,-0.034842,0
-0.035203,0.041021,0,-0.035817,0
-0.038317,0.047674,0,-0.037372,0
-0.041415,0.05483,0,-0.039554,0
-0.044507,0.062485,0,-0.042413,0
-0.0476,0.070639,0,-0.046005,0
-0.050702,0.079289,0,-0.050387,0
-0.053818,0.088432,0,-0.055623,0
-0.05695,0.098061,0,-0.061777,0
-0.060099,0.10817,0,-0.068921,0
-0.063266,0.11875,0,-0.077128,0
-0.066448,0.12979,0,-0.086477,0
-0.069639,0.14126,0,-0.097051,0
-0.072835,0.15315,0,-0.10894,0
-0.076027,0.16542,0,-0.12223,0
-0.079205,0.17804,0,-0.13703,0
-0.082358,0.19095,0,-0.15343,0
-0.085471,0.20409,0,-0.17154,0
-0.088524,0.2174,0,-0.19147,0
-0.091493,0.23077,0,-0.21334,0
-0.094344,0.2441,0,-0.23724,0
-0.097032,0.25723,0,-0.26331,0
-0.099489,0.26998,0,-0.29163,0
-0.10162,0.28214,0,-0.32229,0
-0.10329,0.29342,0,-0.35535,0
-0.10428,0.30347,0,-0.39084,0
-0.1043,0.31187,0,-0.42868,0
-0.10292,0.31807,0,-0.46872,0
-0.099487,0.32141,0,-0.51062,0
-0.093079,0.32108,0,-0.55379,0
-0.082368,0.31614,0,-0.5973,0
-0.065474,0.30551,0,-0.6397,0
-0.039789,0.2881,0,-0.67886,0
-0.0017968,0.26291,0,-0.71181,0
0.053046,0.2294,0,-0.73459,0
0.13023,0.18791,0,-0.74234,0
0.23575,0.14033,0,-0.72961,0
0.37497,0.090684,0,-0.69132,0
0.55089,0.045345,0,-0.62392,0
0.7619,0.012438,0,-0.52759,0
1,0,0,-0.40542,0
0,0,0,0,0
-0.0036474,0.0042888,0,-0.062836,0
-0.0074492,0.0044903,0,-0.041477,0
-0.011336,0.0067086,0,-0.043404,0
-0.015255,0.0092174,0,-0.039745,0
-0.019166,0.012415,0,-0.038197,0
-0.023045,0.01615,0,-0.036672,0
-0.026876,0.020432,0,-0.035725,0
-0.030655,0.025238,0,-0.035214,0
-0.034381,0.03056,0,-0.035196,0
-0.038062,0.036391,0,-0.035686,0
-0.041706,0.042726,0,-0.036719,0
-0.045322,0.049563,0,-0.03833,0
